[
  [
    {
      id: 0,
      game_map: 'Towers of Doom',
      opponent: undefined,
      win: 'LOSS',
      level: 21,
      kills: 1,
      assists: 3,
      takedowns: 4,
      deaths: 6,
      highest_kill_streak: 3,
      hero_damage: 8173,
      siege_damage: 56980,
      structure_damage: 10029,
      minion_damage: 46128,
      creep_damage: 17779,
      summon_damage: 6,
      time_cc_enemy_heroes: 840,
      healing: 47558,
      self_healing: 993,
      damage_taken: 49719,
      experience_contribution: 12956,
      town_kills: 3,
      time_spent_dead: 224,
      merc_camp_captures: 4,
      watch_tower_captures: 0,
      meta_experience: 82109,
      protection_allies: 2480,
      silencing_enemies: 0,
      rooting_enemies: 0,
      stunning_enemies: 0,
      clutch_heals: 1,
      escapes: 2,
      vengeance: 1,
      outnumbered_deaths: 2,
      teamfight_escapes: 0,
      teamfight_healing: 7914,
      teamfight_damage_taken: 29836,
      teamfight_hero_damage: 4925,
      multikill: 0,
      physical_damage: 33924,
      spell_damage: 49008,
      regen_globes: 34,
      first_to_ten: null
    },
    {
      id: 0,
      game_map: 'Towers of Doom',
      opponent: undefined,
      win: 'LOSS',
      level: 21,
      kills: 2,
      assists: 2,
      takedowns: 4,
      deaths: 6,
      highest_kill_streak: 1,
      hero_damage: 29200,
      siege_damage: 34064,
      structure_damage: 16600,
      minion_damage: 15124,
      creep_damage: 18667,
      summon_damage: 2,
      time_cc_enemy_heroes: 0,
      healing: 0,
      self_healing: 19075,
      damage_taken: 72252,
      experience_contribution: 5194,
      town_kills: 2,
      time_spent_dead: 258,
      merc_camp_captures: 4,
      watch_tower_captures: 0,
      meta_experience: 82109,
      protection_allies: 0,
      silencing_enemies: 0,
      rooting_enemies: 0,
      stunning_enemies: 0,
      clutch_heals: 0,
      escapes: 1,
      vengeance: 1,
      outnumbered_deaths: 3,
      teamfight_escapes: 0,
      teamfight_healing: 0,
      teamfight_damage_taken: 50009,
      teamfight_hero_damage: 22775,
      multikill: 0,
      physical_damage: 52099,
      spell_damage: 29832,
      regen_globes: 27,
      first_to_ten: null
    },
    {
      id: 0,
      game_map: 'Towers of Doom',
      opponent: undefined,
      win: 'LOSS',
      level: 21,
      kills: 0,
      assists: 2,
      takedowns: 2,
      deaths: 3,
      highest_kill_streak: 2,
      hero_damage: 16981,
      siege_damage: 44185,
      structure_damage: 5591,
      minion_damage: 35823,
      creep_damage: 2484,
      summon_damage: 9,
      time_cc_enemy_heroes: 87,
      healing: 0,
      self_healing: 12348,
      damage_taken: 61930,
      experience_contribution: 9780,
      town_kills: 2,
      time_spent_dead: 124,
      merc_camp_captures: 2,
      watch_tower_captures: 0,
      meta_experience: 82109,
      protection_allies: 0,
      silencing_enemies: 0,
      rooting_enemies: 0,
      stunning_enemies: 0,
      clutch_heals: 0,
      escapes: 4,
      vengeance: 0,
      outnumbered_deaths: 1,
      teamfight_escapes: 0,
      teamfight_healing: 0,
      teamfight_damage_taken: 42032,
      teamfight_hero_damage: 13954,
      multikill: 0,
      physical_damage: 12367,
      spell_damage: 51283,
      regen_globes: 33,
      first_to_ten: null
    },
    {
      id: 0,
      game_map: 'Towers of Doom',
      opponent: undefined,
      win: 'LOSS',
      level: 21,
      kills: 1,
      assists: 2,
      takedowns: 3,
      deaths: 4,
      highest_kill_streak: 1,
      hero_damage: 19506,
      siege_damage: 136930,
      structure_damage: 8456,
      minion_damage: 118070,
      creep_damage: 6448,
      summon_damage: 0,
      time_cc_enemy_heroes: 53,
      healing: 0,
      self_healing: 7166,
      damage_taken: 28050,
      experience_contribution: 21648,
      town_kills: 4,
      time_spent_dead: 139,
      merc_camp_captures: 3,
      watch_tower_captures: 0,
      meta_experience: 82109,
      protection_allies: 0,
      silencing_enemies: 0,
